id,kota,jamCuaca,kodeCuaca,cuaca,humidity,tempC,tempF

Banda Aceh_2023-11-14T00:00:00,Banda Aceh,2023-11-14 00:00:00,60,Hujan Ringan,85,25,77

Banda Aceh_2023-11-14T06:00:00,Banda Aceh,2023-11-14 06:00:00,1,Cerah Berawan,65,31,88

Banda Aceh_2023-11-14T12:00:00,Banda Aceh,2023-11-14 12:00:00,3,Berawan,85,26,79

Banda Aceh_2023-11-14T18:00:00,Banda Aceh,2023-11-14 18:00:00,1,Cerah Berawan,90,23,73

Bireuen_2023-11-14T00:00:00,Bireuen,2023-11-14 00:00:00,1,Cerah Berawan,85,25,77

Bireuen_2023-11-14T06:00:00,Bireuen,2023-11-14 06:00:00,1,Cerah Berawan,65,31,88

Bireuen_2023-11-14T12:00:00,Bireuen,2023-11-14 12:00:00,3,Berawan,85,26,79

Bireuen_2023-11-14T18:00:00,Bireuen,2023-11-14 18:00:00,1,Cerah Berawan,90,23,73

Gayo Lues_2023-11-14T00:00:00,Gayo Lues,2023-11-14 00:00:00,1,Cerah Berawan,95,20,68

Gayo Lues_2023-11-14T06:00:00,Gayo Lues,2023-11-14 06:00:00,60,Hujan Ringan,75,26,79

Gayo Lues_2023-11-14T12:00:00,Gayo Lues,2023-11-14 12:00:00,60,Hujan Ringan,95,21,70

Gayo Lues_2023-11-14T18:00:00,Gayo Lues,2023-11-14 18:00:00,1,Cerah Berawan,100,18,64

Aceh Barat Daya_2023-11-14T00:00:00,Aceh Barat Daya,2023-11-14 00:00:00,60,Hujan Ringan,85,25,77

Aceh Barat Daya_2023-11-14T06:00:00,Aceh Barat Daya,2023-11-14 06:00:00,60,Hujan Ringan,65,31,88

Aceh Barat Daya_2023-11-14T12:00:00,Aceh Barat Daya,2023-11-14 12:00:00,60,Hujan Ringan,85,26,79

Aceh Barat Daya_2023-11-14T18:00:00,Aceh Barat Daya,2023-11-14 18:00:00,3,Berawan,90,23,73

Aceh Jaya_2023-11-14T00:00:00,Aceh Jaya,2023-11-14 00:00:00,1,Cerah Berawan,85,25,77

Aceh Jaya_2023-11-14T06:00:00,Aceh Jaya,2023-11-14 06:00:00,60,Hujan Ringan,65,31,88

Aceh Jaya_2023-11-14T12:00:00,Aceh Jaya,2023-11-14 12:00:00,60,Hujan Ringan,85,26,79

Aceh Jaya_2023-11-14T18:00:00,Aceh Jaya,2023-11-14 18:00:00,3,Berawan,90,23,73

Aceh Timur_2023-11-14T00:00:00,Aceh Timur,2023-11-14 00:00:00,1,Cerah Berawan,85,25,77

Aceh Timur_2023-11-14T06:00:00,Aceh Timur,2023-11-14 06:00:00,1,Cerah Berawan,65,31,88

Aceh Timur_2023-11-14T12:00:00,Aceh Timur,2023-11-14 12:00:00,1,Cerah Berawan,85,26,79

Aceh Timur_2023-11-14T18:00:00,Aceh Timur,2023-11-14 18:00:00,1,Cerah Berawan,90,23,73

Aceh Tamiang_2023-11-14T00:00:00,Aceh Tamiang,2023-11-14 00:00:00,3,Berawan,85,25,77

Aceh Tamiang_2023-11-14T06:00:00,Aceh Tamiang,2023-11-14 06:00:00,60,Hujan Ringan,65,31,88

Aceh Tamiang_2023-11-14T12:00:00,Aceh Tamiang,2023-11-14 12:00:00,60,Hujan Ringan,85,26,79

Aceh Tamiang_2023-11-14T18:00:00,Aceh Tamiang,2023-11-14 18:00:00,3,Berawan,90,23,73

Aceh Besar_2023-11-14T00:00:00,Aceh Besar,2023-11-14 00:00:00,60,Hujan Ringan,85,25,77

Aceh Besar_2023-11-14T06:00:00,Aceh Besar,2023-11-14 06:00:00,60,Hujan Ringan,65,31,88

Aceh Besar_2023-11-14T12:00:00,Aceh Besar,2023-11-14 12:00:00,45,Berkabut,85,26,79

Aceh Besar_2023-11-14T18:00:00,Aceh Besar,2023-11-14 18:00:00,1,Cerah Berawan,90,23,73

Aceh Tenggara_2023-11-14T00:00:00,Aceh Tenggara,2023-11-14 00:00:00,1,Cerah Berawan,95,20,68

Aceh Tenggara_2023-11-14T06:00:00,Aceh Tenggara,2023-11-14 06:00:00,60,Hujan Ringan,75,26,79

Aceh Tenggara_2023-11-14T12:00:00,Aceh Tenggara,2023-11-14 12:00:00,60,Hujan Ringan,95,21,70

Aceh Tenggara_2023-11-14T18:00:00,Aceh Tenggara,2023-11-14 18:00:00,1,Cerah Berawan,100,18,64

Langsa_2023-11-14T00:00:00,Langsa,2023-11-14 00:00:00,3,Berawan,85,25,77

Langsa_2023-11-14T06:00:00,Langsa,2023-11-14 06:00:00,61,Hujan Sedang,65,31,88

Langsa_2023-11-14T12:00:00,Langsa,2023-11-14 12:00:00,60,Hujan Ringan,85,26,79

Langsa_2023-11-14T18:00:00,Langsa,2023-11-14 18:00:00,1,Cerah Berawan,90,23,73

